2.400367040661355311e-01,2.283701781106848849e-01,2.087973198368530126e-01,1.909471051136000241e-01,1.748604836449353661e-01,1.603841674718361199e-01,1.484916621545405158e-01,1.416441911291010380e-01,1.329407403727617121e-01,1.232398692850790733e-01,1.128961916425586520e-01,1.019061814950451977e-01,8.987398212842186151e-02,7.631605338084314349e-02,6.126641898834045419e-02,4.622053830998967827e-02,3.155431896013809884e-02,1.768170203024482107e-02,4.709220607123629221e-03,-6.876729970812248127e-03,-1.701554645659381082e-02,-2.557542982971491158e-02,-3.192976656234688959e-02,-3.586408220173985945e-02,-3.866838429047032843e-02,-3.960135758360003311e-02,-3.901409969468041389e-02,-3.734929067752310039e-02,-3.424242100776279246e-02,-2.978512885044898653e-02,-9.338080788857129610e-02
2.283701781106848849e-01,2.295015137873504529e-01,2.100100688896470169e-01,1.922220969071181951e-01,1.761830051778671413e-01,1.617425311984505842e-01,1.498873351505774776e-01,1.431112645776191072e-01,1.344517535838839761e-01,1.247708954522538799e-01,1.144261436477961302e-01,1.034122199720109159e-01,9.132450841366764049e-02,7.766708754960860439e-02,6.246747072254828226e-02,4.724270838547770662e-02,3.237408972251354378e-02,1.828361006411202694e-02,5.077411542942660005e-03,-6.744402818984009118e-03,-1.711686223134221974e-02,-2.590375019461365474e-02,-3.246466035999374944e-02,-3.657323012828405523e-02,-3.954130946995193518e-02,-4.061334610506921877e-02,-4.016181464626535774e-02,-3.864418704916353781e-02,-3.589383531418794543e-02,-3.206933795996507602e-02,-9.145513492252706211e-02
2.087973198368530126e-01,2.100100688896470169e-01,2.172836613214169377e-01,1.993868503943232173e-01,1.832270736702464875e-01,1.686598767297534107e-01,1.567283613564258993e-01,1.500691391984480816e-01,1.414133496741353246e-01,1.316461013956546078e-01,1.211398023188561129e-01,1.098829909485528333e-01,9.743540647171776425e-02,8.325252369826066645e-02,6.734033988132373527e-02,5.130789917046534032e-02,3.555911812126631710e-02,2.054769190815882579e-02,6.379567355931758943e-03,-6.393250775713558987e-03,-1.769058413377187083e-02,-2.735937187690516692e-02,-3.470399591940834250e-02,-3.945460569872839135e-02,-4.301382834166077307e-02,-4.456764512947094387e-02,-4.458362700622163499e-02,-4.358354060194151447e-02,-4.137504706658173825e-02,-3.812831141174163191e-02,-8.951861043416307895e-02
1.909471051136000241e-01,1.922220969071181951e-01,1.993868503943232173e-01,2.071894870391974008e-01,1.908467668224245739e-01,1.760955400512708713e-01,1.640381767879320607e-01,1.574610465164161255e-01,1.487679575693167389e-01,1.388689735966765204e-01,1.281531777068843081e-01,1.166032327022948484e-01,1.037424355330718029e-01,8.897768117286450340e-02,7.229585267977213514e-02,5.540227238121401415e-02,3.872577729929280177e-02,2.275334476012591534e-02,7.593688784974891859e-03,-6.148367203073060172e-03,-1.837627955387490658e-02,-2.891776701464717630e-02,-3.701878152629270446e-02,-4.236583617117255229e-02,-4.645179951075616154e-02,-4.839953891559587579e-02,-4.878700858655306977e-02,-4.820598720455161745e-02,-4.644059674618034039e-02,-4.367248174690262913e-02,-8.810931989944822962e-02
1.748604836449353661e-01,1.761830051778671413e-01,1.832270736702464875e-01,1.908467668224245739e-01,1.994883352026173839e-01,1.844674811750139365e-01,1.722120782536428751e-01,1.656723610655964074e-01,1.568855908943169453e-01,1.467907314267377639e-01,1.357961630060506297e-01,1.238788517240265452e-01,1.105234695988660532e-01,9.508654211284876812e-02,7.753784255039826434e-02,5.968767371091787677e-02,4.199315315383395086e-02,2.497744888201852698e-02,8.755120243857897333e-03,-6.013420396625626663e-03,-1.921374491498328840e-02,-3.065148323014240533e-02,-3.950882360643739183e-02,-4.542729304693681608e-02,-4.999360599770186209e-02,-5.226051523775563507e-02,-5.293361153862755075e-02,-5.268225798578521357e-02,-5.126837165824653375e-02,-4.888548220048184734e-02,-8.735314863992649226e-02
1.603841674718361199e-01,1.617425311984505842e-01,1.686598767297534107e-01,1.760955400512708713e-01,1.844674811750139365e-01,1.941162600888547696e-01,1.815750204224436115e-01,1.750225668311501670e-01,1.660755704439586811e-01,1.557073335070341957e-01,1.443489109057248532e-01,1.319716133347738352e-01,1.180180549458394734e-01,1.017909779984600277e-01,8.324464494189680319e-02,6.430682719241684331e-02,4.546724456010943494e-02,2.728935969686779872e-02,9.896819296724132520e-03,-5.989886891390086565e-03,-2.023649805226913900e-02,-3.262312193776550906e-02,-4.226086344770149661e-02,-4.874369703335659776e-02,-5.375923684015353893e-02,-5.628091061509985643e-02,-5.716198416712098274e-02,-5.715900675855281610e-02,-5.601230853463212700e-02,-5.392813967318814405e-02,-8.731696532275858014e-02
1.484916621545405158e-01,1.498873351505774776e-01,1.567283613564258993e-01,1.640381767879320607e-01,1.722120782536428751e-01,1.815750204224436115e-01,1.940034826745631880e-01,1.873302056680693772e-01,1.780730218088154848e-01,1.672545817825007441e-01,1.553364650969057403e-01,1.422839473936520494e-01,1.274879906146100805e-01,1.101864042458145648e-01,9.031868371692501618e-02,6.996302508528304265e-02,4.965136458940480613e-02,2.999773003370795332e-02,1.113947718802238418e-02,-6.130200738331023635e-03,-2.165347519051298575e-02,-3.517878054086517881e-02,-4.572885626193788633e-02,-5.284255718272702629e-02,-5.833327880343559119e-02,-6.107448556966660336e-02,-6.209922963920642275e-02,-6.227016226902214180e-02,-6.130373199546115121e-02,-5.942193532429188019e-02,-8.876702825334847891e-02
1.416441911291010380e-01,1.431112645776191072e-01,1.500691391984480816e-01,1.574610465164161255e-01,1.656723610655964074e-01,1.750225668311501670e-01,1.873302056680693772e-01,2.076340213584522976e-01,1.976924077194478491e-01,1.859782846895943198e-01,1.730040688711058094e-01,1.587274546810176767e-01,1.424609006253589882e-01,1.233443501182834301e-01,1.013004993511118224e-01,7.864799782751481783e-02,5.598537295160756211e-02,3.400486018878778882e-02,1.286560100268802076e-02,-6.530614453309796508e-03,-2.399328571704234525e-02,-3.922532626726281391e-02,-5.111670945908226849e-02,-5.912929264694966047e-02,-6.527409469624713412e-02,-6.827298265168064983e-02,-6.940741855314036535e-02,-6.969158263311010792e-02,-6.880808551463271638e-02,-6.700352208039052349e-02,-9.310681488841719700e-02
1.329407403727617121e-01,1.344517535838839761e-01,1.414133496741353246e-01,1.487679575693167389e-01,1.568855908943169453e-01,1.660755704439586811e-01,1.780730218088154848e-01,1.976924077194478491e-01,2.174788451177453175e-01,2.049315530674152286e-01,1.909627156557270333e-01,1.755225300337453775e-01,1.578429293016846147e-01,1.369617504853457013e-01,1.127798705189777678e-01,8.786114875112674416e-02,6.287136174636839825e-02,3.858401619411197525e-02,1.517461578557025015e-02,-6.338419536990713699e-03,-2.572791487481229655e-02,-4.265064632634066322e-02,-5.587081569362511990e-02,-6.476883381049769461e-02,-7.152649334758336142e-02,-7.472360748995322821e-02,-7.591608840233587951e-02,-7.627430032113370617e-02,-7.545113355821816969e-02,-7.371514616650023943e-02,-8.910185575050484641e-02
1.232398692850790733e-01,1.247708954522538799e-01,1.316461013956546355e-01,1.388689735966765204e-01,1.467907314267377639e-01,1.557073335070342235e-01,1.672545817825007441e-01,1.859782846895943198e-01,2.049315530674152286e-01,2.249438282558134383e-01,2.099465093222991907e-01,1.932985393471384761e-01,1.741463969977660176e-01,1.514196178713220764e-01,1.249955800222718183e-01,9.769796434760416592e-02,7.026451318825491232e-02,4.355584730709471941e-02,1.776460586661818275e-02,-5.964970156593030204e-03,-2.736459236155672214e-02,-4.604049857312789151e-02,-6.062574359050000583e-02,-7.041312365578349108e-02,-7.775081680739362455e-02,-8.107052426109599697e-02,-8.223960754554970887e-02,-8.259880486120244059e-02,-8.177306699528358314e-02,-8.005266424648890822e-02,-8.441059961931861311e-02
